sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,padding,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower_ms,mvt_err_upper_ms,all_median_mvt_ms,all_mvt_err_lower_ms,all_mvt_err_upper_ms,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,sigma_feature,center_time_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,complex_pulse_short,0.01,5,1,5,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,171,129,68.386,20.7004,21.6868,77.29,27.0728,46.3587,-999,7997.57,25919.15,25882.3,36.85,18.27,999.7,97.83,12.82,-999,289.84,289.43,4.22,8.8,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,200,4,50,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,295,5,2.98,0.8363,0.1469,2.989,0.8317,0.148,-999,7999.97,260281.13,258779.15,1501.98,1351.67,1000.0,447.45,447.39,-999,2910.17,2893.37,61.3,40.86,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,50,1,50,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,177,123,5.936,1.5567,1.5975,7.248,2.2656,8.3879,-999,8000.98,259211.31,258834.27,377.03,1353.36,1000.12,287.96,284.79,-999,2898.01,2893.8,15.39,10.25,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,200,2,100,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,240,60,3.731,0.8191,0.636,4.1465,1.1713,1.0195,-999,8001.29,519061.28,517559.79,1501.49,17.86,1000.16,444.25,301.76,-999,5803.08,5786.3,43.66,362.99,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,12,3,4,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,128,172,7.002,1.9813,3.2796,16.5245,10.3906,21.1618,-999,8008.67,20811.09,20719.05,92.03,128.77,1001.08,39.93,39.86,-999,232.56,231.53,11.44,8.13,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,12,3,4,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,77,223,67.304,30.6495,17.4896,63.813,26.9052,40.622,-999,7994.29,20745.32,20658.55,86.78,17.96,999.29,79.44,19.19,-999,232.04,231.07,10.81,20.99,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,3,1,3,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,146,154,77.41,27.5438,19.4854,84.659,27.8274,60.4777,-999,7999.77,15553.77,15531.45,22.32,96.42,999.97,66.1,50.85,-999,173.91,173.66,3.07,2.28,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,15,3,5,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,71,229,47.053,39.872,29.4016,48.955,23.7862,36.9668,-999,8005.89,25944.14,25833.32,110.82,19.25,1000.74,82.42,23.24,-999,289.97,288.74,12.7,25.64,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,20,5,4,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,223,77,4.415,0.8959,0.9488,4.988,1.3622,2.2305,-999,8004.49,20857.57,20706.53,151.04,124.57,1000.56,51.15,51.09,-999,233.14,231.45,18.79,13.57,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,12,4,3,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,81,219,56.392,50.5034,37.876,55.9525,32.5283,40.6169,-999,7997.4,15596.91,15507.81,89.1,17.85,999.67,57.35,19.27,-999,174.41,173.42,12.25,21.45,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
