sim_type,pulse_shape,bin_width_ms,peak_amplitude,position,angle,trigger,sim_det,base_det,analysis_det,num_analysis_det,background_level,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,gaussian,0.0001,7000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.107,0.001,0.001,0.107,0.001,0.001,1753.4,0.07,-999,-999,-999,-999,1045.33,2297.26,-999,2426.67,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,3000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.107,0.002,0.016,0.107,0.002,0.016,750.99,0.08,-999,-999,-999,-999,1017.33,986.17,-999,inf,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,3000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.275,0.027,0.018,0.275,0.027,0.018,2253.93,1.32,-999,-999,-999,-999,1009.78,1504.55,-999,1722.05,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,5000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.275,0.026,0.018,0.275,0.026,0.018,3757.2,1.35,-999,-999,-999,-999,1020.22,2491.57,-999,2847.47,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,7000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.2825,0.0095,0.0105,0.2825,0.0095,0.0105,5260.26,1.33,-999,-999,-999,-999,1020.67,3638.38,-999,3979.57,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,2000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.29,0.043,0.004,0.29,0.043,0.004,1502.15,1.34,-999,-999,-999,-999,1011.11,1012.2,-999,1143.79,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,3000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,298,2,0.411,0.066,0.0045,0.411,0.066,0.005,3757.05,2.59,-999,-999,-999,-999,1015.03,1872.31,-999,2189.81,-999,-999,-999,-999,60.94,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,5000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.411,0.0632,0.003,0.411,0.0632,0.003,6263.16,2.57,-999,-999,-999,-999,1012.0,3128.83,-999,3653.83,-999,-999,-999,-999,78.94,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,7000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.411,0.003,0.003,0.411,0.003,0.003,8769.18,2.59,-999,-999,-999,-999,1014.8,4368.48,-999,5100.01,-999,-999,-999,-999,93.23,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,2000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,293,7,0.412,0.069,0.006,0.412,0.069,0.0452,2504.1,2.57,-999,-999,-999,-999,1006.14,1241.92,-999,1467.07,-999,-999,-999,-999,49.65,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.001,100.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,274,26,1.044,0.1843,0.1843,1.0465,0.1805,0.1947,249.64,5.61,-999,-999,-999,-999,1015.47,92.71,-999,101.79,-999,-999,-999,-999,15.28,14.85,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,-999,-999
function,gaussian,0.001,20.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,272,28,1.5205,0.3397,0.2664,1.6245,0.4277,0.3695,49.79,5.59,-999,-999,-999,-999,1010.44,23.22,-999,20.39,-999,-999,-999,-999,6.07,5.48,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,-999,-999
