sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,183,117,59.831,21.1023,16.6034,70.9455,27.0715,82.504,167.68,753.49,-999,-999,-999,-999,998.91,14.7,-999,6.11,-999,-999,-999,-999,3.51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.1
function,norris,0.003,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,100,200,28.8035,8.109,30.575,76.015,51.0036,131.6946,35.0,100.87,-999,-999,-999,-999,997.35,9.03,-999,3.48,-999,-999,-999,-999,3.04,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.01
function,norris,0.01,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,80,220,24.381,11.8564,9.1283,54.334,31.3073,60.044,27.86,86.86,-999,-999,-999,-999,1000.03,8.53,-999,3.0,-999,-999,-999,-999,2.86,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.01
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,80,220,24.9945,9.8005,9.1721,56.816,34.9346,72.6124,27.92,86.82,-999,-999,-999,-999,999.76,8.38,-999,3.01,-999,-999,-999,-999,2.87,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.01
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,178,122,43.8545,14.4969,10.3473,50.3335,18.9721,62.8397,61.61,238.46,-999,-999,-999,-999,995.9,11.5,-999,3.99,-999,-999,-999,-999,3.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.03
function,norris,0.003,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,78,222,24.4265,11.8322,9.3857,57.737,34.1077,57.2542,27.88,86.63,-999,-999,-999,-999,997.48,8.52,-999,3.0,-999,-999,-999,-999,2.86,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.01
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,189,111,55.64,17.7359,21.5863,68.2865,24.2243,87.2084,167.43,754.07,-999,-999,-999,-999,999.69,14.41,-999,6.1,-999,-999,-999,-999,3.51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.1
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,186,114,58.2795,17.8639,17.6459,70.257,26.7635,92.8138,167.92,752.66,-999,-999,-999,-999,997.81,14.58,-999,6.12,-999,-999,-999,-999,3.52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.1
function,norris,0.001,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,25,275,11.398,4.5296,12.6923,35.106,24.173,77.24,11.76,29.8,-999,-999,-999,-999,997.18,5.69,-999,2.14,-999,-999,-999,-999,2.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.003
function,norris,0.003,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,189,111,50.897,12.088,19.599,58.9595,19.3017,37.1018,78.68,264.51,-999,-999,-999,-999,1000.72,12.6,-999,4.84,-999,-999,-999,-999,3.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.03
