MVT_snr,median_mvt_ms,sigma,bin_width_ms,mvt_err_upper,mvt_err_lower
549.74,3.503,0.005,0.0003,0.6514,0.102
65.36,4.915,0.005,0.0003,0.625,1.5034
882.55,0.817,0.001,0.0001,0.012,0.139
1357.88,2.076,0.003,0.0003,0.384,0.0297
2721.86,2.075,0.003,0.0003,0.01,0.0145
190.2,4.146,0.005,0.0003,0.4863,1.292
1611.7,0.697,0.001,0.0001,0.126,0.014
1795.62,3.485,0.005,0.0003,0.0232,0.032
3603.74,3.488,0.005,0.0003,0.012,0.015
5.33,8.095,0.003,0.0001,29.8026,1.972
18.76,3.947,0.003,0.0001,0.765,1.1206
8.36,6.393,0.003,0.0001,3.2604,2.3192
435.07,2.325,0.003,0.0001,0.2686,0.42
50.08,3.145,0.003,0.0001,0.2576,0.8644
151.11,2.378,0.003,0.0001,0.4272,0.5023
2966.81,2.312,0.003,0.0001,0.01,0.3671
1482.39,2.309,0.003,0.0001,0.017,0.3828
193.48,3.943,0.005,0.0001,0.7257,1.2637
555.7,3.8835,0.005,0.0001,0.0461,0.6645
23.68,5.631,0.005,0.0001,1.0631,1.1791
10.48,8.707,0.005,0.0001,2.6425,2.3229
63.47,4.6795,0.005,0.0001,0.8735,0.9424
7.14,21.576,0.005,0.0001,21.0565,13.2253
1838.98,3.886,0.005,0.0001,0.019,0.6226
3667.12,3.887,0.005,0.0001,0.01,0.61
