sim_type,pulse_shape,bin_width_ms,peak_amplitude,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,MVT_snr,sigma
function,gaussian,0.0003,1,300,34,266,19.5555,9.8421,18.8558,7.2,5.000
function,gaussian,0.0003,300,300,217,83,3.503,0.102,0.6514,549.74,5.000
function,gaussian,0.0003,30,300,231,69,4.915,1.5034,0.625,65.36,5.000
function,gaussian,0.0001,1000,300,251,49,0.817,0.139,0.012,882.55,1.000
function,gaussian,0.0003,1000,300,253,47,2.076,0.0297,0.384,1357.88,3.000
function,gaussian,0.0003,2000,300,248,52,2.075,0.0145,0.01,2721.86,3.000
function,gaussian,0.0003,100,300,215,85,4.146,1.292,0.4863,190.2,5.000
function,gaussian,0.0001,2000,300,267,33,0.697,0.014,0.126,1611.7,1.000
function,gaussian,0.0003,1000,300,231,69,3.485,0.032,0.0232,1795.62,5.000
function,gaussian,0.0003,2000,300,230,70,3.488,0.015,0.012,3603.74,5.000
function,gaussian,0.0001,1,300,11,289,8.095,1.972,29.8026,5.33,3.000
function,gaussian,0.0001,10,300,229,71,3.947,1.1206,0.765,18.76,3.000
function,gaussian,0.0001,3,300,141,159,6.393,2.3192,3.2604,8.36,3.000
function,gaussian,0.0001,300,300,216,84,2.325,0.42,0.2686,435.07,3.000
function,gaussian,0.0001,30,300,241,59,3.145,0.8644,0.2576,50.08,3.000
function,gaussian,0.0001,100,300,225,75,2.378,0.5023,0.4272,151.11,3.000
function,gaussian,0.0001,2000,300,219,81,2.312,0.3671,0.01,2966.81,3.000
function,gaussian,0.0001,1000,300,236,64,2.309,0.3828,0.017,1482.39,3.000
function,gaussian,0.0001,100,300,209,91,3.943,1.2637,0.7257,193.48,5.000
function,gaussian,0.0001,300,300,210,90,3.8835,0.6645,0.0461,555.7,5.000
function,gaussian,0.0001,10,300,235,65,5.631,1.1791,1.0631,23.68,5.000
function,gaussian,0.0001,3,300,212,88,8.707,2.3229,2.6425,10.48,5.000
function,gaussian,0.0001,30,300,228,72,4.6795,0.9424,0.8735,63.47,5.000
function,gaussian,0.0001,1,300,27,273,21.576,13.2253,21.0565,7.14,5.000
function,gaussian,0.0001,1000,300,216,84,3.886,0.6226,0.019,1838.98,5.000
function,gaussian,0.0001,2000,300,210,90,3.887,0.61,0.01,3667.12,5.000
