sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,triangular,3.0,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,208,92,266.2835,4.9613,177.4872,263.5245,188.8225,179.6443,150000.38,3000.12,-999,-999,-999,-999,1000.19,1549.26,-999,2738.42,-999,-999,-999,-999,40.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,1.0,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,210,90,305.8015,4.8322,69.6615,303.413,228.2436,38.9028,149987.66,3000.05,-999,-999,-999,-999,1000.16,1675.14,-999,2738.22,-999,-999,-999,-999,40.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,1.0,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,193,107,1252.457,225.2819,144.5156,1031.067,849.4936,362.9828,149978.67,10001.56,-999,-999,-999,-999,1000.2,975.72,-999,1499.64,-999,-999,-999,-999,22.35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,181,119,578.603,177.2564,122.5188,577.9165,231.7768,233.4335,1503.93,2997.56,-999,-999,-999,-999,999.31,45.75,-999,27.47,-999,-999,-999,-999,4.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,0.1,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,185,115,476.431,200.1087,100.0117,468.138,263.0882,108.651,4502.13,2996.19,-999,-999,-999,-999,998.86,78.98,-999,82.25,-999,-999,-999,-999,6.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,0.1,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,211,89,114.908,13.8376,24.7192,103.197,74.1306,36.0109,49991.39,999.03,-999,-999,-999,-999,999.44,982.45,-999,1581.39,-999,-999,-999,-999,39.78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,10.0,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,203,97,885.456,7.6557,591.7602,881.418,792.5757,594.2676,499901.52,9999.94,-999,-999,-999,-999,1000.03,2796.46,-999,4998.96,-999,-999,-999,-999,40.46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,3.0,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,189,111,1104.016,11.969,125.3285,1093.9385,989.8099,132.5711,499915.21,10000.93,-999,-999,-999,-999,1000.13,3093.86,-999,4998.85,-999,-999,-999,-999,40.46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,0.3,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,203,97,346.925,39.1104,71.5373,310.764,247.0434,107.0794,149979.19,2999.64,-999,-999,-999,-999,1000.03,1689.08,-999,2738.25,-999,-999,-999,-999,40.11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,183,117,1704.083,725.9892,365.0699,1661.6995,840.8178,412.6077,4994.31,9997.89,-999,-999,-999,-999,999.83,78.89,-999,49.95,-999,-999,-999,-999,4.39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
